version,dataset,patch_size,blocks,threads,time
./bin/v1,./data/noise_image_tulips_const.txt,7,32,128,0.196285
./bin/v1,./data/noise_image_tulips_const.txt,7,32,256,0.205661
./bin/v1,./data/noise_image_tulips_const.txt,7,32,512,0.317688
./bin/v1,./data/noise_image_tulips_const.txt,7,32,1024,0.519507
./bin/v1,./data/noise_image_tulips_const.txt,7,32,2048,0.002200
./bin/v1,./data/noise_image_tulips_const.txt,7,64,32,0.231645
./bin/v1,./data/noise_image_tulips_const.txt,7,64,64,0.199670
./bin/v1,./data/noise_image_tulips_const.txt,7,64,128,0.206957
./bin/v1,./data/noise_image_tulips_const.txt,7,64,256,0.243772
./bin/v1,./data/noise_image_tulips_const.txt,7,64,512,0.318525
./bin/v1,./data/noise_image_tulips_const.txt,7,64,1024,0.518396
./bin/v1,./data/noise_image_tulips_const.txt,7,64,2048,0.002314
./bin/v1,./data/noise_image_tulips_const.txt,7,128,32,0.191487
./bin/v1,./data/noise_image_tulips_const.txt,7,128,64,0.197660
./bin/v1,./data/noise_image_tulips_const.txt,7,128,128,0.224112
./bin/v1,./data/noise_image_tulips_const.txt,7,128,256,0.246020
./bin/v1,./data/noise_image_tulips_const.txt,7,128,512,0.368421
./bin/v1,./data/noise_image_tulips_const.txt,7,128,1024,0.519981
./bin/v1,./data/noise_image_tulips_const.txt,7,128,2048,0.002533
./bin/v1,./data/noise_image_tulips_const.txt,7,256,32,0.194292
./bin/v1,./data/noise_image_tulips_const.txt,7,256,64,0.206666
./bin/v1,./data/noise_image_tulips_const.txt,7,256,128,0.237309
./bin/v1,./data/noise_image_tulips_const.txt,7,256,256,0.248111
./bin/v1,./data/noise_image_tulips_const.txt,7,256,512,0.368538
./bin/v1,./data/noise_image_tulips_const.txt,7,256,1024,0.521525
./bin/v1,./data/noise_image_tulips_const.txt,7,256,2048,0.002333
./bin/v1,./data/noise_image_tulips_const.txt,7,512,32,0.214758
./bin/v1,./data/noise_image_tulips_const.txt,7,512,64,0.227468
./bin/v1,./data/noise_image_tulips_const.txt,7,512,128,0.236885
